Type of Travel,Home and Work Filter,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Trip Duration (sec),Avg All Trip Duration (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Trip Duration 0-10 min (percent),Trip Duration 10-20 min (percent),Trip Duration 20-30 min (percent),Trip Duration 30-40 min (percent),Trip Duration 40-50 min (percent),Trip Duration 50-60 min (percent),Trip Duration 60-70 min (percent),Trip Duration 70-80 min (percent),Trip Duration 80-90 min (percent),Trip Duration 90-100 min (percent),Trip Duration 100-110 min (percent),Trip Duration 110-120 min (percent),Trip Duration 120-130 min (percent),Trip Duration 130-140 min (percent),Trip Duration 140-150 min (percent),Trip Duration 150+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-5 mi (percent),Trip Length 5-10 mi (percent),Trip Length 10-20 mi (percent),Trip Length 20-30 mi (percent),Trip Length 30-40 mi (percent),Trip Length 40-50 mi (percent),Trip Length 50-60 mi (percent),Trip Length 60-70 mi (percent),Trip Length 70-80 mi (percent),Trip Length 80-90 mi (percent),Trip Length 90-100 mi (percent),Trip Length 100+ mi (percent),Trip Speed 0-10 mph (percent),Trip Speed 10-20 mph (percent),Trip Speed 20-30 mph (percent),Trip Speed 30-40 mph (percent),Trip Speed 40-50 mph (percent),Trip Speed 50-60 mph (percent),Trip Speed 60-70 mph (percent),Trip Speed 70-80 mph (percent),Trip Speed 80-90 mph (percent),Trip Speed 90+ mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),48,2680,2693,20.9,20.7,25,24,1.606,0.072,0.151,0.158,0.187,0.072,0.072,0.086,0.036,0.043,0.058,0.022,0.014,0.022,0.000,0.000,0.007,0.065,0.050,0.215,0.101,0.187,0.101,0.036,0.151,0.058,0.029,0.000,0.000,0.000,0.007,0.230,0.180,0.252,0.158,0.137,0.043,0.000,0.000,0.000,0.000,0.914,0.050,0.007,0.007,0.000,0.022
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),1: Morning (8am-12noon),12,2580,2571,18.5,17.6,23,22,1.752,0.079,0.184,0.184,0.132,0.000,0.132,0.079,0.026,0.053,0.105,0.026,0.000,0.000,0.000,0.000,0.000,0.079,0.079,0.211,0.105,0.211,0.105,0.026,0.053,0.105,0.026,0.000,0.000,0.000,0.000,0.237,0.184,0.316,0.158,0.105,0.000,0.000,0.000,0.000,0.000,0.869,0.079,0.000,0.026,0.000,0.026
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),2: Recreation Hours (8am-8pm),34,2462,2487,17.6,17.4,22,22,1.686,0.069,0.167,0.196,0.204,0.049,0.059,0.088,0.020,0.039,0.069,0.020,0.010,0.000,0.000,0.000,0.010,0.088,0.049,0.235,0.118,0.206,0.118,0.049,0.049,0.049,0.029,0.000,0.000,0.000,0.010,0.274,0.196,0.265,0.137,0.118,0.010,0.000,0.000,0.000,0.000,0.892,0.069,0.000,0.010,0.000,0.029
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),3: Afternoon (12noon-4pm),9,2109,2213,14.9,15.4,23,23,1.740,0.071,0.071,0.214,0.358,0.071,0.036,0.107,0.036,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.107,0.000,0.213,0.143,0.179,0.179,0.143,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.321,0.143,0.286,0.107,0.143,0.000,0.000,0.000,0.000,0.000,0.928,0.036,0.000,0.000,0.000,0.036
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),4: Evening (4pm-8pm),12,2610,2610,18.7,18.7,22,21,1.575,0.056,0.222,0.194,0.167,0.083,0.000,0.083,0.000,0.028,0.083,0.028,0.028,0.000,0.000,0.000,0.028,0.083,0.056,0.277,0.111,0.222,0.083,0.000,0.056,0.028,0.056,0.000,0.000,0.000,0.028,0.278,0.250,0.194,0.139,0.111,0.028,0.000,0.000,0.000,0.000,0.889,0.083,0.000,0.000,0.000,0.028
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),27,2743,2808,19.7,19.5,22,21,1.657,0.100,0.150,0.166,0.150,0.050,0.050,0.050,0.050,0.067,0.083,0.017,0.017,0.050,0.000,0.000,0.000,0.050,0.083,0.284,0.100,0.133,0.067,0.000,0.183,0.067,0.033,0.000,0.000,0.000,0.000,0.250,0.267,0.200,0.183,0.083,0.017,0.000,0.000,0.000,0.000,0.899,0.050,0.017,0.017,0.000,0.017
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),1: Morning (8am-12noon),10,2655,2733,18.8,18.0,22,21,1.721,0.091,0.185,0.136,0.136,0.000,0.136,0.045,0.045,0.045,0.136,0.045,0.000,0.000,0.000,0.000,0.000,0.091,0.136,0.184,0.136,0.136,0.091,0.000,0.045,0.136,0.045,0.000,0.000,0.000,0.000,0.319,0.136,0.273,0.227,0.045,0.000,0.000,0.000,0.000,0.000,0.819,0.136,0.000,0.045,0.000,0.000
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),2: Recreation Hours (8am-8pm),21,2367,2469,15.8,15.7,20,19,1.719,0.109,0.152,0.195,0.196,0.022,0.065,0.043,0.022,0.065,0.087,0.022,0.022,0.000,0.000,0.000,0.000,0.065,0.087,0.327,0.109,0.152,0.087,0.000,0.065,0.065,0.043,0.000,0.000,0.000,0.000,0.304,0.283,0.174,0.174,0.065,0.000,0.000,0.000,0.000,0.000,0.891,0.065,0.000,0.022,0.000,0.022
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),3: Afternoon (12noon-4pm),4,1672,2046,7.1,9.3,14,15,2.351,0.111,0.000,0.222,0.556,0.000,0.000,0.000,0.000,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.111,0.000,0.445,0.111,0.222,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.556,0.222,0.111,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.889,0.000,0.000,0.000,0.000,0.111
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),4: Evening (4pm-8pm),7,2336,2336,16.2,16.2,20,20,1.339,0.133,0.200,0.265,0.067,0.067,0.000,0.067,0.000,0.067,0.067,0.000,0.067,0.000,0.000,0.000,0.000,0.000,0.067,0.466,0.067,0.133,0.067,0.000,0.133,0.000,0.067,0.000,0.000,0.000,0.000,0.133,0.534,0.067,0.133,0.133,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),103,2633,2605,21.8,21.5,27,27,1.567,0.051,0.152,0.152,0.214,0.089,0.089,0.114,0.025,0.025,0.038,0.025,0.013,0.000,0.000,0.000,0.013,0.076,0.025,0.165,0.101,0.227,0.127,0.063,0.127,0.051,0.025,0.000,0.000,0.000,0.013,0.215,0.114,0.292,0.139,0.177,0.063,0.000,0.000,0.000,0.000,0.924,0.051,0.000,0.000,0.000,0.025
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,2: Weekend Day (Sa-Su),1: Morning (8am-12noon),20,2476,2348,18.1,17.2,24,24,1.794,0.063,0.188,0.248,0.125,0.000,0.125,0.125,0.000,0.063,0.063,0.000,0.000,0.000,0.000,0.000,0.000,0.063,0.000,0.250,0.063,0.310,0.125,0.063,0.063,0.063,0.000,0.000,0.000,0.000,0.000,0.125,0.250,0.374,0.063,0.188,0.000,0.000,0.000,0.000,0.000,0.937,0.000,0.000,0.000,0.000,0.063
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,2: Weekend Day (Sa-Su),2: Recreation Hours (8am-8pm),70,2539,2501,19.1,18.8,25,24,1.659,0.036,0.179,0.196,0.213,0.071,0.054,0.125,0.018,0.018,0.054,0.018,0.000,0.000,0.000,0.000,0.018,0.107,0.018,0.161,0.125,0.249,0.143,0.089,0.036,0.036,0.018,0.000,0.000,0.000,0.018,0.250,0.125,0.339,0.107,0.161,0.018,0.000,0.000,0.000,0.000,0.893,0.071,0.000,0.000,0.000,0.036
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,2: Weekend Day (Sa-Su),3: Afternoon (12noon-4pm),24,2292,2292,18.2,18.2,26,26,1.451,0.053,0.105,0.211,0.262,0.105,0.053,0.158,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.105,0.000,0.105,0.158,0.158,0.210,0.211,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.211,0.105,0.368,0.105,0.211,0.000,0.000,0.000,0.000,0.000,0.947,0.053,0.000,0.000,0.000,0.000
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,2: Weekend Day (Sa-Su),4: Evening (4pm-8pm),27,2806,2806,20.5,20.5,23,22,1.744,0.000,0.238,0.143,0.238,0.095,0.000,0.095,0.000,0.000,0.095,0.048,0.000,0.000,0.000,0.000,0.048,0.143,0.048,0.143,0.143,0.284,0.095,0.000,0.000,0.048,0.048,0.000,0.000,0.000,0.048,0.380,0.048,0.286,0.143,0.095,0.048,0.000,0.000,0.000,0.000,0.809,0.143,0.000,0.000,0.000,0.048
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),4469,2720,2758,9.9,10.0,13,13,1.923,0.053,0.167,0.188,0.145,0.115,0.084,0.059,0.047,0.036,0.025,0.019,0.016,0.014,0.008,0.006,0.018,0.069,0.129,0.286,0.182,0.198,0.084,0.026,0.010,0.004,0.002,0.003,0.003,0.002,0.002,0.492,0.314,0.124,0.050,0.015,0.004,0.001,0.000,0.000,0.000,0.780,0.139,0.039,0.016,0.008,0.018
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,0: All Days (M-Su),1: Morning (8am-12noon),562,3188,3219,8.7,8.8,11,11,2.132,0.064,0.149,0.168,0.112,0.086,0.080,0.066,0.046,0.051,0.041,0.028,0.023,0.025,0.016,0.012,0.033,0.079,0.150,0.291,0.174,0.187,0.082,0.023,0.006,0.003,0.003,0.000,0.001,0.000,0.001,0.578,0.301,0.091,0.023,0.003,0.003,0.000,0.000,0.001,0.000,0.708,0.178,0.063,0.020,0.012,0.019
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,0: All Days (M-Su),2: Recreation Hours (8am-8pm),3872,2836,2876,10.2,10.3,13,13,1.936,0.051,0.158,0.177,0.141,0.114,0.087,0.062,0.051,0.040,0.028,0.021,0.018,0.016,0.009,0.007,0.020,0.067,0.128,0.282,0.180,0.200,0.086,0.027,0.011,0.005,0.003,0.003,0.004,0.002,0.002,0.500,0.313,0.120,0.048,0.014,0.004,0.001,0.000,0.000,0.000,0.780,0.139,0.039,0.016,0.008,0.018
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,0: All Days (M-Su),3: Afternoon (12noon-4pm),1799,3077,3125,11.5,11.6,13,13,1.893,0.045,0.142,0.157,0.134,0.118,0.092,0.068,0.056,0.044,0.032,0.025,0.022,0.019,0.009,0.010,0.027,0.060,0.117,0.273,0.172,0.205,0.101,0.035,0.014,0.005,0.002,0.005,0.005,0.003,0.003,0.486,0.309,0.125,0.057,0.017,0.005,0.001,0.000,0.000,0.000,0.791,0.133,0.035,0.015,0.007,0.019
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,0: All Days (M-Su),4: Evening (4pm-8pm),1511,2408,2440,9.0,9.2,13,13,1.915,0.052,0.182,0.210,0.161,0.120,0.083,0.052,0.047,0.030,0.018,0.012,0.011,0.008,0.005,0.003,0.006,0.071,0.133,0.294,0.192,0.198,0.070,0.019,0.008,0.004,0.003,0.002,0.003,0.001,0.002,0.487,0.322,0.125,0.047,0.015,0.003,0.001,0.000,0.000,0.000,0.792,0.131,0.035,0.017,0.007,0.018
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),3561,2699,2737,9.8,9.9,13,13,1.858,0.052,0.174,0.189,0.142,0.113,0.085,0.059,0.046,0.036,0.025,0.019,0.015,0.013,0.007,0.007,0.018,0.065,0.132,0.294,0.177,0.197,0.082,0.028,0.011,0.005,0.002,0.002,0.003,0.001,0.001,0.491,0.315,0.127,0.050,0.013,0.003,0.001,0.000,0.000,0.000,0.788,0.137,0.037,0.015,0.008,0.015
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,1: Weekday (M-F),1: Morning (8am-12noon),471,3194,3220,8.7,8.8,11,10,1.992,0.053,0.151,0.177,0.124,0.079,0.076,0.069,0.047,0.053,0.037,0.029,0.018,0.024,0.017,0.011,0.035,0.078,0.149,0.292,0.175,0.192,0.074,0.027,0.004,0.004,0.003,0.000,0.001,0.000,0.001,0.580,0.294,0.103,0.019,0.002,0.002,0.000,0.000,0.000,0.000,0.703,0.188,0.062,0.015,0.015,0.017
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,1: Weekday (M-F),2: Recreation Hours (8am-8pm),3034,2839,2877,10.1,10.2,13,13,1.865,0.047,0.162,0.180,0.138,0.113,0.088,0.062,0.051,0.041,0.028,0.021,0.018,0.014,0.008,0.008,0.021,0.061,0.129,0.291,0.175,0.199,0.086,0.030,0.012,0.006,0.002,0.003,0.003,0.002,0.001,0.498,0.313,0.124,0.049,0.012,0.003,0.001,0.000,0.000,0.000,0.787,0.136,0.037,0.016,0.008,0.016
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,1: Weekday (M-F),3: Afternoon (12noon-4pm),1405,3042,3087,11.4,11.5,14,13,1.800,0.043,0.147,0.161,0.123,0.126,0.095,0.067,0.055,0.044,0.033,0.024,0.020,0.018,0.007,0.010,0.027,0.049,0.115,0.275,0.171,0.209,0.104,0.039,0.017,0.006,0.003,0.004,0.004,0.003,0.001,0.469,0.316,0.134,0.062,0.015,0.003,0.001,0.000,0.000,0.000,0.815,0.120,0.030,0.016,0.006,0.013
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,1: Weekday (M-F),4: Evening (4pm-8pm),1158,2432,2467,9.0,9.1,13,12,1.896,0.051,0.186,0.207,0.162,0.109,0.084,0.052,0.046,0.033,0.019,0.015,0.014,0.006,0.006,0.004,0.006,0.070,0.138,0.312,0.179,0.189,0.069,0.019,0.009,0.006,0.001,0.002,0.003,0.001,0.002,0.505,0.317,0.119,0.045,0.011,0.003,0.000,0.000,0.000,0.000,0.786,0.136,0.035,0.017,0.007,0.019
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),6915,2747,2787,10.1,10.2,13,13,2.012,0.054,0.157,0.183,0.150,0.119,0.084,0.059,0.049,0.036,0.026,0.018,0.018,0.015,0.009,0.006,0.017,0.074,0.125,0.277,0.189,0.200,0.085,0.023,0.009,0.003,0.003,0.003,0.004,0.002,0.003,0.496,0.313,0.119,0.050,0.017,0.004,0.001,0.000,0.000,0.000,0.771,0.141,0.040,0.018,0.009,0.021
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),1: Morning (8am-12noon),807,3177,3216,8.6,8.8,11,11,2.351,0.083,0.148,0.150,0.095,0.097,0.084,0.063,0.044,0.049,0.047,0.026,0.030,0.026,0.016,0.012,0.030,0.081,0.151,0.287,0.172,0.179,0.095,0.018,0.009,0.002,0.004,0.000,0.002,0.000,0.000,0.578,0.311,0.072,0.028,0.005,0.004,0.000,0.000,0.002,0.000,0.712,0.163,0.065,0.028,0.009,0.023
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),2: Recreation Hours (8am-8pm),6128,2833,2875,10.2,10.3,13,13,2.029,0.055,0.153,0.175,0.146,0.116,0.085,0.062,0.052,0.038,0.028,0.020,0.019,0.017,0.009,0.006,0.019,0.074,0.127,0.272,0.187,0.201,0.087,0.024,0.009,0.004,0.003,0.003,0.004,0.002,0.003,0.501,0.312,0.116,0.047,0.017,0.005,0.002,0.000,0.000,0.000,0.769,0.142,0.042,0.017,0.008,0.022
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),3: Afternoon (12noon-4pm),2860,3126,3177,11.6,11.6,13,13,2.017,0.048,0.134,0.149,0.149,0.107,0.088,0.069,0.058,0.045,0.031,0.027,0.026,0.020,0.012,0.009,0.028,0.074,0.120,0.266,0.174,0.201,0.097,0.030,0.011,0.005,0.002,0.006,0.006,0.003,0.005,0.512,0.299,0.112,0.049,0.019,0.007,0.002,0.000,0.000,0.000,0.757,0.150,0.042,0.015,0.009,0.027
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),4: Evening (4pm-8pm),2461,2379,2407,9.1,9.3,14,13,1.939,0.055,0.178,0.207,0.159,0.134,0.082,0.053,0.049,0.026,0.018,0.009,0.007,0.011,0.005,0.002,0.005,0.073,0.126,0.275,0.207,0.208,0.072,0.019,0.006,0.003,0.004,0.002,0.002,0.001,0.002,0.465,0.327,0.134,0.050,0.019,0.003,0.002,0.000,0.000,0.000,0.800,0.126,0.035,0.017,0.007,0.015
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1949,1901,1984,5.5,5.7,11,10,2.210,0.090,0.236,0.241,0.156,0.110,0.057,0.038,0.021,0.017,0.008,0.008,0.005,0.003,0.004,0.002,0.004,0.163,0.191,0.304,0.170,0.131,0.028,0.008,0.003,0.001,0.000,0.001,0.000,0.000,0.000,0.620,0.260,0.079,0.031,0.009,0.001,0.000,0.000,0.000,0.000,0.704,0.156,0.063,0.027,0.014,0.036
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),1: Morning (8am-12noon),327,1893,1999,5.3,5.5,10,10,2.383,0.090,0.215,0.254,0.164,0.107,0.060,0.039,0.020,0.020,0.004,0.012,0.001,0.005,0.004,0.000,0.005,0.183,0.219,0.281,0.144,0.136,0.022,0.009,0.003,0.001,0.000,0.000,0.000,0.001,0.001,0.662,0.221,0.068,0.030,0.017,0.001,0.000,0.001,0.000,0.000,0.667,0.154,0.072,0.039,0.018,0.050
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),2: Recreation Hours (8am-8pm),1568,1929,2013,5.5,5.7,10,10,2.259,0.092,0.233,0.236,0.154,0.112,0.055,0.041,0.022,0.017,0.009,0.009,0.005,0.004,0.004,0.003,0.004,0.164,0.193,0.305,0.162,0.133,0.028,0.008,0.004,0.001,0.001,0.001,0.000,0.000,0.000,0.629,0.255,0.076,0.030,0.009,0.001,0.000,0.000,0.000,0.000,0.692,0.161,0.063,0.030,0.015,0.039
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),3: Afternoon (12noon-4pm),516,1954,2047,5.7,5.9,10,10,2.194,0.091,0.239,0.213,0.165,0.112,0.047,0.046,0.026,0.021,0.008,0.012,0.005,0.005,0.005,0.001,0.004,0.173,0.187,0.294,0.160,0.132,0.034,0.009,0.006,0.002,0.001,0.002,0.000,0.000,0.000,0.626,0.258,0.074,0.033,0.008,0.001,0.000,0.000,0.000,0.000,0.696,0.166,0.060,0.030,0.014,0.034
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),4: Evening (4pm-8pm),725,1929,1995,5.5,5.6,11,10,2.248,0.093,0.237,0.245,0.141,0.114,0.058,0.038,0.021,0.013,0.013,0.006,0.006,0.002,0.004,0.005,0.004,0.149,0.184,0.323,0.172,0.133,0.026,0.007,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.616,0.269,0.081,0.027,0.006,0.001,0.000,0.000,0.000,0.000,0.704,0.160,0.060,0.024,0.015,0.037
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),1732,1879,1963,5.5,5.7,10,10,2.210,0.094,0.238,0.246,0.146,0.110,0.056,0.040,0.018,0.019,0.008,0.008,0.004,0.003,0.004,0.002,0.004,0.157,0.193,0.306,0.176,0.127,0.024,0.009,0.004,0.002,0.001,0.001,0.000,0.000,0.000,0.614,0.274,0.075,0.028,0.009,0.000,0.000,0.000,0.000,0.000,0.698,0.162,0.061,0.027,0.016,0.036
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),1: Morning (8am-12noon),267,1805,1907,4.9,5.2,10,10,2.364,0.102,0.226,0.268,0.155,0.106,0.040,0.042,0.018,0.018,0.002,0.011,0.002,0.002,0.004,0.000,0.004,0.182,0.217,0.293,0.151,0.129,0.011,0.009,0.004,0.002,0.000,0.000,0.000,0.002,0.000,0.661,0.231,0.062,0.033,0.011,0.000,0.000,0.002,0.000,0.000,0.643,0.162,0.084,0.044,0.020,0.047
