Type of Travel,Home and Work Filter,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Trip Duration (sec),Avg All Trip Duration (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Trip Duration 0-10 min (percent),Trip Duration 10-20 min (percent),Trip Duration 20-30 min (percent),Trip Duration 30-40 min (percent),Trip Duration 40-50 min (percent),Trip Duration 50-60 min (percent),Trip Duration 60-70 min (percent),Trip Duration 70-80 min (percent),Trip Duration 80-90 min (percent),Trip Duration 90-100 min (percent),Trip Duration 100-110 min (percent),Trip Duration 110-120 min (percent),Trip Duration 120-130 min (percent),Trip Duration 130-140 min (percent),Trip Duration 140-150 min (percent),Trip Duration 150+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-5 mi (percent),Trip Length 5-10 mi (percent),Trip Length 10-20 mi (percent),Trip Length 20-30 mi (percent),Trip Length 30-40 mi (percent),Trip Length 40-50 mi (percent),Trip Length 50-60 mi (percent),Trip Length 60-70 mi (percent),Trip Length 70-80 mi (percent),Trip Length 80-90 mi (percent),Trip Length 90-100 mi (percent),Trip Length 100+ mi (percent),Trip Speed 0-10 mph (percent),Trip Speed 10-20 mph (percent),Trip Speed 20-30 mph (percent),Trip Speed 30-40 mph (percent),Trip Speed 40-50 mph (percent),Trip Speed 50-60 mph (percent),Trip Speed 60-70 mph (percent),Trip Speed 70-80 mph (percent),Trip Speed 80-90 mph (percent),Trip Speed 90+ mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),2: Recreation Hours (8am-8pm),1346,1920,2006,5.5,5.8,10,10,2.274,0.096,0.234,0.241,0.145,0.113,0.054,0.044,0.019,0.019,0.008,0.009,0.004,0.003,0.005,0.002,0.004,0.159,0.190,0.311,0.167,0.130,0.026,0.009,0.004,0.002,0.001,0.001,0.000,0.000,0.000,0.621,0.272,0.070,0.028,0.009,0.000,0.000,0.000,0.000,0.000,0.688,0.163,0.062,0.030,0.018,0.039
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),3: Afternoon (12noon-4pm),399,1969,2071,6.0,6.3,11,11,2.216,0.099,0.258,0.208,0.142,0.105,0.052,0.052,0.019,0.024,0.006,0.013,0.003,0.004,0.007,0.001,0.007,0.154,0.187,0.300,0.169,0.130,0.034,0.012,0.007,0.003,0.001,0.003,0.000,0.000,0.000,0.601,0.283,0.072,0.033,0.010,0.001,0.000,0.000,0.000,0.000,0.683,0.174,0.063,0.028,0.018,0.034
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),4: Evening (4pm-8pm),680,1937,2006,5.5,5.7,10,10,2.272,0.091,0.226,0.244,0.143,0.121,0.061,0.039,0.020,0.016,0.013,0.006,0.006,0.003,0.004,0.004,0.003,0.154,0.181,0.321,0.173,0.129,0.027,0.008,0.003,0.002,0.001,0.000,0.001,0.000,0.000,0.619,0.281,0.071,0.022,0.007,0.000,0.000,0.000,0.000,0.000,0.711,0.156,0.052,0.026,0.017,0.038
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),2533,1940,2021,5.6,5.8,11,10,2.210,0.083,0.234,0.230,0.173,0.109,0.058,0.034,0.026,0.014,0.010,0.009,0.006,0.004,0.003,0.003,0.004,0.174,0.188,0.294,0.157,0.139,0.035,0.006,0.003,0.000,0.000,0.002,0.001,0.000,0.001,0.631,0.234,0.087,0.036,0.010,0.002,0.000,0.000,0.000,0.000,0.709,0.147,0.066,0.028,0.012,0.038
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,2: Weekend Day (Sa-Su),1: Morning (8am-12noon),490,2019,2130,5.9,5.8,10,10,2.410,0.073,0.198,0.238,0.176,0.109,0.089,0.035,0.022,0.022,0.006,0.013,0.000,0.010,0.003,0.000,0.006,0.185,0.220,0.263,0.134,0.147,0.038,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.660,0.208,0.077,0.026,0.026,0.003,0.000,0.000,0.000,0.000,0.700,0.144,0.054,0.032,0.016,0.054
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,2: Weekend Day (Sa-Su),2: Recreation Hours (8am-8pm),2166,1945,2025,5.5,5.6,10,10,2.234,0.086,0.231,0.231,0.168,0.109,0.057,0.036,0.028,0.014,0.011,0.009,0.005,0.004,0.004,0.003,0.004,0.172,0.196,0.298,0.153,0.140,0.030,0.007,0.002,0.000,0.000,0.001,0.000,0.000,0.001,0.642,0.228,0.086,0.033,0.010,0.001,0.000,0.000,0.000,0.000,0.699,0.158,0.065,0.028,0.011,0.039
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,2: Weekend Day (Sa-Su),3: Afternoon (12noon-4pm),832,1934,2015,5.3,5.4,10,10,2.165,0.080,0.217,0.220,0.195,0.121,0.041,0.037,0.035,0.018,0.010,0.010,0.008,0.006,0.002,0.000,0.000,0.198,0.187,0.290,0.148,0.134,0.033,0.006,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.657,0.226,0.078,0.033,0.006,0.000,0.000,0.000,0.000,0.000,0.712,0.156,0.056,0.033,0.010,0.033
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,2: Weekend Day (Sa-Su),4: Evening (4pm-8pm),844,1911,1970,5.4,5.6,11,11,2.198,0.098,0.263,0.239,0.137,0.098,0.052,0.037,0.023,0.006,0.015,0.006,0.006,0.000,0.006,0.008,0.006,0.139,0.191,0.326,0.170,0.141,0.023,0.006,0.002,0.000,0.000,0.002,0.000,0.000,0.000,0.612,0.243,0.100,0.039,0.004,0.002,0.000,0.000,0.000,0.000,0.687,0.168,0.079,0.021,0.010,0.035
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1292,1694,1779,5.4,5.7,12,11,2.377,0.121,0.289,0.231,0.134,0.090,0.057,0.027,0.017,0.009,0.008,0.004,0.003,0.003,0.002,0.002,0.003,0.134,0.199,0.350,0.182,0.087,0.034,0.006,0.004,0.001,0.000,0.000,0.001,0.001,0.001,0.554,0.309,0.096,0.026,0.013,0.002,0.000,0.000,0.000,0.000,0.666,0.173,0.057,0.029,0.021,0.054
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,0: All Days (M-Su),1: Morning (8am-12noon),170,1753,1829,5.5,5.7,12,11,2.338,0.122,0.280,0.217,0.134,0.092,0.062,0.038,0.013,0.006,0.013,0.004,0.009,0.004,0.004,0.002,0.000,0.145,0.196,0.303,0.209,0.104,0.028,0.011,0.002,0.000,0.000,0.000,0.000,0.000,0.002,0.572,0.262,0.130,0.021,0.015,0.000,0.000,0.000,0.000,0.000,0.643,0.181,0.070,0.034,0.017,0.055
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,0: All Days (M-Su),2: Recreation Hours (8am-8pm),1012,1751,1836,5.6,5.9,12,11,2.404,0.116,0.272,0.231,0.137,0.094,0.061,0.030,0.018,0.009,0.010,0.005,0.004,0.004,0.003,0.003,0.003,0.137,0.192,0.339,0.190,0.093,0.034,0.006,0.004,0.002,0.000,0.000,0.000,0.001,0.002,0.552,0.304,0.103,0.027,0.013,0.001,0.000,0.000,0.000,0.000,0.656,0.175,0.061,0.031,0.021,0.056
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,0: All Days (M-Su),3: Afternoon (12noon-4pm),310,1766,1833,6.0,6.3,12,12,2.380,0.142,0.257,0.242,0.116,0.085,0.061,0.034,0.022,0.013,0.006,0.006,0.002,0.005,0.000,0.005,0.004,0.147,0.206,0.325,0.167,0.101,0.037,0.006,0.006,0.002,0.000,0.000,0.000,0.001,0.002,0.520,0.331,0.106,0.028,0.014,0.001,0.000,0.000,0.000,0.000,0.672,0.168,0.069,0.028,0.021,0.042
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,0: All Days (M-Su),4: Evening (4pm-8pm),532,1742,1841,5.4,5.7,12,11,2.440,0.099,0.281,0.228,0.151,0.099,0.062,0.026,0.017,0.008,0.011,0.004,0.003,0.003,0.003,0.002,0.003,0.129,0.182,0.358,0.198,0.085,0.035,0.004,0.003,0.002,0.000,0.001,0.001,0.001,0.001,0.565,0.301,0.093,0.028,0.011,0.002,0.000,0.000,0.000,0.000,0.650,0.177,0.054,0.033,0.022,0.064
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),1152,1664,1757,4.8,5.2,11,11,2.397,0.127,0.285,0.233,0.131,0.089,0.058,0.030,0.017,0.008,0.007,0.002,0.004,0.003,0.001,0.002,0.003,0.133,0.207,0.359,0.185,0.077,0.027,0.005,0.004,0.001,0.000,0.000,0.001,0.000,0.001,0.562,0.317,0.089,0.023,0.008,0.001,0.000,0.000,0.000,0.000,0.669,0.173,0.056,0.031,0.018,0.053
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,1: Weekday (M-F),1: Morning (8am-12noon),134,1696,1746,5.0,5.1,11,11,2.108,0.151,0.281,0.219,0.113,0.087,0.057,0.038,0.015,0.008,0.011,0.000,0.008,0.008,0.000,0.004,0.000,0.140,0.226,0.309,0.211,0.102,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.555,0.306,0.117,0.011,0.011,0.000,0.000,0.000,0.000,0.000,0.668,0.185,0.072,0.030,0.015,0.030
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,1: Weekday (M-F),2: Recreation Hours (8am-8pm),887,1725,1819,5.0,5.3,11,11,2.433,0.122,0.264,0.235,0.131,0.095,0.062,0.034,0.019,0.008,0.010,0.003,0.005,0.004,0.002,0.003,0.003,0.136,0.198,0.352,0.190,0.083,0.028,0.005,0.004,0.001,0.000,0.000,0.001,0.001,0.001,0.564,0.311,0.093,0.024,0.007,0.001,0.000,0.000,0.000,0.000,0.654,0.173,0.062,0.034,0.019,0.058
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,1: Weekday (M-F),3: Afternoon (12noon-4pm),254,1637,1710,5.0,5.3,12,11,2.359,0.157,0.262,0.253,0.104,0.086,0.053,0.035,0.026,0.008,0.002,0.004,0.004,0.000,0.000,0.002,0.004,0.145,0.214,0.354,0.169,0.075,0.031,0.006,0.004,0.000,0.000,0.000,0.000,0.000,0.002,0.526,0.350,0.094,0.024,0.006,0.000,0.000,0.000,0.000,0.000,0.690,0.159,0.059,0.029,0.022,0.041
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,1: Weekday (M-F),4: Evening (4pm-8pm),499,1779,1894,5.0,5.4,11,11,2.558,0.095,0.268,0.229,0.149,0.101,0.068,0.032,0.016,0.008,0.013,0.003,0.004,0.005,0.003,0.003,0.003,0.131,0.182,0.363,0.195,0.083,0.033,0.004,0.005,0.002,0.000,0.000,0.001,0.001,0.000,0.586,0.293,0.086,0.027,0.007,0.001,0.000,0.000,0.000,0.000,0.634,0.177,0.061,0.036,0.018,0.074
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1668,1750,1821,6.4,6.6,13,12,2.340,0.110,0.292,0.229,0.142,0.093,0.054,0.020,0.019,0.011,0.010,0.006,0.002,0.004,0.004,0.002,0.002,0.134,0.185,0.335,0.178,0.106,0.046,0.007,0.003,0.002,0.000,0.001,0.000,0.001,0.002,0.537,0.294,0.110,0.032,0.023,0.004,0.000,0.000,0.000,0.000,0.664,0.173,0.060,0.024,0.025,0.054
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,2: Weekend Day (Sa-Su),1: Morning (8am-12noon),270,1828,1937,6.3,6.5,13,12,2.636,0.083,0.273,0.216,0.162,0.098,0.069,0.039,0.010,0.005,0.015,0.010,0.010,0.000,0.010,0.000,0.000,0.152,0.157,0.293,0.206,0.108,0.059,0.020,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.593,0.206,0.147,0.034,0.020,0.000,0.000,0.000,0.000,0.000,0.608,0.176,0.069,0.039,0.020,0.088
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,2: Weekend Day (Sa-Su),2: Recreation Hours (8am-8pm),1348,1798,1868,6.7,6.9,13,12,2.354,0.106,0.283,0.224,0.149,0.091,0.061,0.024,0.016,0.011,0.010,0.008,0.003,0.004,0.004,0.003,0.003,0.139,0.181,0.314,0.192,0.109,0.045,0.008,0.004,0.003,0.000,0.001,0.000,0.001,0.003,0.532,0.290,0.121,0.032,0.022,0.003,0.000,0.000,0.000,0.000,0.654,0.179,0.061,0.028,0.025,0.053
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,2: Weekend Day (Sa-Su),3: Afternoon (12noon-4pm),459,1955,2013,7.6,7.9,13,12,2.411,0.118,0.254,0.225,0.133,0.084,0.072,0.032,0.017,0.020,0.012,0.009,0.000,0.012,0.000,0.009,0.003,0.150,0.194,0.279,0.165,0.139,0.046,0.006,0.009,0.006,0.000,0.000,0.000,0.003,0.003,0.509,0.303,0.124,0.035,0.026,0.003,0.000,0.000,0.000,0.000,0.645,0.182,0.084,0.026,0.020,0.043
Personal,Visitors,Trip Start,5030000000001054201,Phalen,no,N/A,no,2: Weekend Day (Sa-Su),4: Evening (4pm-8pm),619,1665,1726,6.1,6.2,13,12,2.184,0.107,0.309,0.226,0.156,0.094,0.048,0.011,0.018,0.007,0.007,0.007,0.002,0.000,0.004,0.000,0.004,0.125,0.182,0.350,0.206,0.088,0.037,0.004,0.000,0.002,0.000,0.002,0.000,0.000,0.004,0.522,0.318,0.107,0.029,0.020,0.004,0.000,0.000,0.000,0.000,0.684,0.178,0.039,0.024,0.031,0.044
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),52,2833,2828,22.9,22.6,26,26,1.518,0.073,0.171,0.166,0.099,0.099,0.093,0.033,0.106,0.040,0.040,0.013,0.040,0.007,0.007,0.000,0.013,0.073,0.033,0.146,0.099,0.218,0.152,0.060,0.113,0.060,0.013,0.000,0.000,0.020,0.013,0.159,0.172,0.252,0.238,0.139,0.040,0.000,0.000,0.000,0.000,0.886,0.093,0.007,0.007,0.000,0.007
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),1: Morning (8am-12noon),13,2429,2428,15.4,14.8,24,24,1.811,0.075,0.100,0.300,0.200,0.075,0.050,0.025,0.075,0.025,0.025,0.025,0.000,0.000,0.000,0.000,0.025,0.100,0.075,0.075,0.200,0.275,0.125,0.100,0.025,0.025,0.000,0.000,0.000,0.000,0.000,0.275,0.150,0.200,0.200,0.150,0.025,0.000,0.000,0.000,0.000,0.775,0.175,0.000,0.025,0.000,0.025
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),2: Recreation Hours (8am-8pm),44,2878,2871,23.2,22.9,26,26,1.531,0.055,0.186,0.172,0.102,0.086,0.094,0.031,0.109,0.039,0.039,0.016,0.039,0.008,0.008,0.000,0.016,0.078,0.039,0.141,0.102,0.193,0.172,0.063,0.102,0.055,0.016,0.000,0.000,0.023,0.016,0.164,0.180,0.249,0.227,0.141,0.039,0.000,0.000,0.000,0.000,0.890,0.086,0.008,0.008,0.000,0.008
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),3: Afternoon (12noon-4pm),13,3280,3280,31.4,31.4,29,29,1.340,0.086,0.141,0.086,0.086,0.114,0.143,0.057,0.114,0.000,0.000,0.029,0.086,0.029,0.000,0.000,0.029,0.057,0.029,0.114,0.057,0.143,0.256,0.086,0.057,0.029,0.057,0.000,0.000,0.086,0.029,0.114,0.114,0.286,0.286,0.086,0.114,0.000,0.000,0.000,0.000,0.971,0.029,0.000,0.000,0.000,0.000
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),4: Evening (4pm-8pm),18,2935,2935,23.5,23.5,25,25,1.446,0.019,0.284,0.132,0.038,0.075,0.094,0.019,0.132,0.075,0.075,0.000,0.038,0.000,0.019,0.000,0.000,0.075,0.019,0.207,0.057,0.170,0.151,0.019,0.189,0.094,0.000,0.000,0.000,0.000,0.019,0.113,0.245,0.264,0.208,0.170,0.000,0.000,0.000,0.000,0.000,0.924,0.057,0.019,0.000,0.000,0.000
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),34,2965,2985,24.7,24.4,26,26,1.491,0.122,0.161,0.122,0.054,0.081,0.081,0.027,0.135,0.081,0.054,0.014,0.054,0.000,0.000,0.000,0.014,0.068,0.054,0.188,0.081,0.149,0.122,0.027,0.162,0.108,0.000,0.000,0.000,0.041,0.000,0.162,0.176,0.243,0.243,0.122,0.054,0.000,0.000,0.000,0.000,0.864,0.122,0.000,0.014,0.000,0.000
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),1: Morning (8am-12noon),7,3337,3407,17.5,16.4,20,19,1.845,0.067,0.067,0.265,0.133,0.000,0.000,0.067,0.133,0.067,0.067,0.067,0.000,0.000,0.000,0.000,0.067,0.133,0.133,0.067,0.133,0.266,0.067,0.067,0.067,0.067,0.000,0.000,0.000,0.000,0.000,0.467,0.133,0.133,0.067,0.200,0.000,0.000,0.000,0.000,0.000,0.733,0.200,0.000,0.067,0.000,0.000
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),2: Recreation Hours (8am-8pm),29,3161,3181,25.7,25.3,25,25,1.485,0.081,0.159,0.129,0.065,0.081,0.065,0.032,0.145,0.081,0.065,0.016,0.065,0.000,0.000,0.000,0.016,0.065,0.065,0.177,0.065,0.145,0.145,0.032,0.145,0.113,0.000,0.000,0.000,0.048,0.000,0.177,0.194,0.226,0.242,0.113,0.048,0.000,0.000,0.000,0.000,0.887,0.097,0.000,0.016,0.000,0.000
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),3: Afternoon (12noon-4pm),7,2820,2820,32.2,32.2,30,30,1.319,0.216,0.143,0.071,0.071,0.143,0.071,0.000,0.071,0.000,0.000,0.000,0.214,0.000,0.000,0.000,0.000,0.071,0.071,0.217,0.071,0.071,0.143,0.071,0.000,0.071,0.000,0.000,0.000,0.214,0.000,0.143,0.143,0.143,0.286,0.071,0.214,0.000,0.000,0.000,0.000,0.929,0.071,0.000,0.000,0.000,0.000
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),4: Evening (4pm-8pm),15,3232,3232,26.4,26.4,26,26,1.392,0.030,0.213,0.091,0.030,0.091,0.091,0.030,0.182,0.121,0.091,0.000,0.030,0.000,0.000,0.000,0.000,0.030,0.030,0.212,0.030,0.121,0.182,0.000,0.243,0.152,0.000,0.000,0.000,0.000,0.000,0.061,0.242,0.303,0.303,0.091,0.000,0.000,0.000,0.000,0.000,0.939,0.061,0.000,0.000,0.000,0.000
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),100,2706,2677,21.2,21.0,27,26,1.544,0.026,0.182,0.207,0.143,0.117,0.104,0.039,0.078,0.000,0.026,0.013,0.026,0.013,0.013,0.000,0.013,0.078,0.013,0.104,0.117,0.285,0.182,0.091,0.065,0.013,0.026,0.000,0.000,0.000,0.026,0.156,0.169,0.259,0.234,0.156,0.026,0.000,0.000,0.000,0.000,0.909,0.065,0.013,0.000,0.000,0.013
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,2: Weekend Day (Sa-Su),1: Morning (8am-12noon),30,1899,1840,14.2,13.7,27,27,1.791,0.080,0.120,0.320,0.240,0.120,0.080,0.000,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.080,0.040,0.080,0.240,0.280,0.160,0.120,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.160,0.160,0.240,0.280,0.120,0.040,0.000,0.000,0.000,0.000,0.800,0.160,0.000,0.000,0.000,0.040
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,2: Weekend Day (Sa-Su),2: Recreation Hours (8am-8pm),86,2613,2580,20.9,20.7,27,27,1.574,0.030,0.214,0.212,0.136,0.091,0.121,0.030,0.076,0.000,0.015,0.015,0.015,0.015,0.015,0.000,0.015,0.091,0.015,0.106,0.136,0.243,0.197,0.091,0.061,0.000,0.030,0.000,0.000,0.000,0.030,0.152,0.167,0.272,0.212,0.167,0.030,0.000,0.000,0.000,0.000,0.894,0.076,0.015,0.000,0.000,0.015
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,2: Weekend Day (Sa-Su),3: Afternoon (12noon-4pm),29,3587,3587,30.8,30.8,29,29,1.354,0.000,0.143,0.095,0.095,0.095,0.190,0.095,0.143,0.000,0.000,0.048,0.000,0.048,0.000,0.000,0.048,0.048,0.000,0.048,0.048,0.190,0.333,0.095,0.095,0.000,0.095,0.000,0.000,0.000,0.048,0.095,0.095,0.381,0.286,0.095,0.048,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Personal,Visitors,Trip End,5030000000001054198,Baylor,no,N/A,no,2: Weekend Day (Sa-Su),4: Evening (4pm-8pm),27,2446,2446,18.6,18.6,24,24,1.535,0.000,0.400,0.200,0.050,0.050,0.100,0.000,0.050,0.000,0.050,0.000,0.050,0.000,0.050,0.000,0.000,0.150,0.000,0.200,0.100,0.250,0.100,0.050,0.100,0.000,0.000,0.000,0.000,0.000,0.050,0.200,0.250,0.200,0.050,0.300,0.000,0.000,0.000,0.000,0.000,0.900,0.050,0.050,0.000,0.000,0.000
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),4596,2414,2454,12.4,12.5,16,16,1.886,0.051,0.162,0.203,0.174,0.139,0.094,0.059,0.038,0.023,0.016,0.011,0.007,0.006,0.004,0.003,0.010,0.068,0.120,0.234,0.181,0.218,0.099,0.032,0.014,0.009,0.004,0.005,0.005,0.003,0.008,0.385,0.323,0.174,0.079,0.029,0.009,0.001,0.000,0.000,0.000,0.809,0.115,0.034,0.015,0.008,0.019
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,0: All Days (M-Su),1: Morning (8am-12noon),1278,2669,2690,16.6,16.6,19,19,1.716,0.045,0.129,0.172,0.175,0.158,0.108,0.068,0.040,0.030,0.021,0.012,0.009,0.009,0.006,0.004,0.014,0.042,0.103,0.187,0.156,0.248,0.137,0.048,0.020,0.013,0.008,0.011,0.008,0.006,0.013,0.291,0.309,0.216,0.117,0.051,0.014,0.002,0.000,0.000,0.000,0.859,0.088,0.026,0.010,0.005,0.012
Personal,Visitors,Trip End,5030000000001054199,Como,no,N/A,no,0: All Days (M-Su),2: Recreation Hours (8am-8pm),4292,2445,2482,12.8,12.8,16,16,1.866,0.048,0.157,0.202,0.175,0.141,0.097,0.059,0.040,0.024,0.016,0.011,0.007,0.006,0.004,0.003,0.010,0.065,0.115,0.230,0.181,0.224,0.102,0.034,0.014,0.010,0.004,0.005,0.005,0.003,0.008,0.377,0.326,0.178,0.080,0.029,0.009,0.001,0.000,0.000,0.000,0.818,0.112,0.032,0.014,0.007,0.017
